date,GHI
6/15/23 0:00,0
6/15/23 0:10,0
6/15/23 0:20,0
6/15/23 0:30,0
6/15/23 0:40,0
6/15/23 0:50,0
6/15/23 1:00,0
6/15/23 1:10,0
6/15/23 1:20,0
6/15/23 1:30,0
6/15/23 1:40,0
6/15/23 1:50,0
6/15/23 2:00,0
6/15/23 2:10,0
6/15/23 2:20,0
6/15/23 2:30,0
6/15/23 2:40,0
6/15/23 2:50,0
6/15/23 3:00,0
6/15/23 3:10,0
6/15/23 3:20,0
6/15/23 3:30,0
6/15/23 3:40,0
6/15/23 3:50,0
6/15/23 4:00,0
6/15/23 4:10,0
6/15/23 4:20,0
6/15/23 4:30,0
6/15/23 4:40,0
6/15/23 4:50,23
6/15/23 5:00,42
6/15/23 5:10,65
6/15/23 5:20,92
6/15/23 5:30,120
6/15/23 5:40,151
6/15/23 5:50,183
6/15/23 6:00,216
6/15/23 6:10,249
6/15/23 6:20,284
6/15/23 6:30,318
6/15/23 6:40,354
6/15/23 6:50,388
6/15/23 7:00,423
6/15/23 7:10,458
6/15/23 7:20,492
6/15/23 7:30,526
6/15/23 7:40,561
6/15/23 7:50,594
6/15/23 8:00,626
6/15/23 8:10,657
6/15/23 8:20,689
6/15/23 8:30,719
6/15/23 8:40,749
6/15/23 8:50,776
6/15/23 9:00,804
6/15/23 9:10,829
6/15/23 9:20,853
6/15/23 9:30,875
6/15/23 9:40,899
6/15/23 9:50,919
6/15/23 10:00,937
6/15/23 10:10,953
6/15/23 10:20,971
6/15/23 10:30,984
6/15/23 10:40,996
6/15/23 10:50,1006
6/15/23 11:00,1017
6/15/23 11:10,1023
6/15/23 11:20,1028
6/15/23 11:30,1032
6/15/23 11:40,1033
6/15/23 11:50,1036
6/15/23 12:00,1034
6/15/23 12:10,1030
6/15/23 12:20,1025
6/15/23 12:30,1017
6/15/23 12:40,1009
6/15/23 12:50,998
6/15/23 13:00,986
6/15/23 13:10,972
6/15/23 13:20,956
6/15/23 13:30,939
6/15/23 13:40,921
6/15/23 13:50,901
6/15/23 14:00,879
6/15/23 14:10,856
6/15/23 14:20,832
6/15/23 14:30,807
6/15/23 14:40,780
6/15/23 14:50,752
6/15/23 15:00,723
6/15/23 15:10,693
6/15/23 15:20,662
6/15/23 15:30,631
6/15/23 15:40,598
6/15/23 15:50,563
6/15/23 16:00,529
6/15/23 16:10,495
6/15/23 16:20,460
6/15/23 16:30,425
6/15/23 16:40,389
6/15/23 16:50,353
6/15/23 17:00,317
6/15/23 17:10,282
6/15/23 17:20,248
6/15/23 17:30,214
6/15/23 17:40,179
6/15/23 17:50,147
6/15/23 18:00,116
6/15/23 18:10,87
6/15/23 18:20,61
6/15/23 18:30,31
6/15/23 18:40,16
6/15/23 18:50,0
6/15/23 19:00,0
6/15/23 19:10,0
6/15/23 19:20,0
6/15/23 19:30,0
6/15/23 19:40,0
6/15/23 19:50,0
6/15/23 20:00,0
6/15/23 20:10,0
6/15/23 20:20,0
6/15/23 20:30,0
6/15/23 20:40,0
6/15/23 20:50,0
6/15/23 21:00,0
6/15/23 21:10,0
6/15/23 21:20,0
6/15/23 21:30,0
6/15/23 21:40,0
6/15/23 21:50,0
6/15/23 22:00,0
6/15/23 22:10,0
6/15/23 22:20,0
6/15/23 22:30,0
6/15/23 22:40,0
6/15/23 22:50,0
6/15/23 23:00,0
6/15/23 23:10,0
6/15/23 23:20,0
6/15/23 23:30,0
6/15/23 23:40,0
6/15/23 23:50,0
6/16/23 0:00,0